Column_Number,Column_Name,Category,Plain_Language_Description,What_Biologists_Need_to_Know,Typical_Values,Higher_is_Better
1,TUMOR_ID,Sample Info,Identifier for the tumor sample being analyzed,This tells you which patient/sample the variant came from,Sample name/ID,N/A
2,TYPE,Variant Type,Type of structural variant,DEL=deletion DUP=duplication INV=inversion BND=translocation/breakend. Most clinically relevant are translocations (BND) affecting cancer genes,"DEL, DUP, INV, BND",N/A
3,fusion,Gene Fusion,Predicted protein fusion and whether it's in-frame,Critical for cancer biology - in-frame fusions often create oncogenic fusion proteins. Look for known cancer gene fusions,"Protein Fusion: in frame {GENE1:GENE2}, out of frame, or blank",In-frame fusions more functional
4,gene1,Gene 1,First gene affected by the structural variant,One of the genes disrupted or fused by this rearrangement. Check if it's a known cancer gene,HUGO gene symbol,Known cancer genes important
5,gene2,Gene 2,Second gene affected by the structural variant,The partner gene in a fusion or second breakpoint. Important for identifying known fusion pairs,HUGO gene symbol,Known cancer genes important
6,site1,Location 1,Precise location within or near gene1,Tells you if breakpoint is in an exon (coding) intron or regulatory region. Exonic breaks more likely to disrupt function,Example: Intron of GENE(+):2Kb before exon 3,Exonic breaks more impactful
7,site2,Location 2,Precise location within or near gene2,Same as site1 but for the second breakpoint location,Example: 5'-UTR of GENE(+):3Kb before coding start,Exonic breaks more impactful
8,CHROM_A,Chr A,Chromosome of first breakpoint,Chromosome where the first break occurred. Chr 1-22 X Y,1-22 X Y,N/A
9,START_A,Start A,Start coordinate of first breakpoint,Genomic position (base pair number) where first break starts,Integer position,N/A
10,END_A,End A,End coordinate of first breakpoint,Genomic position where first break ends (usually START+1 for precise breaks),Integer position,N/A
11,CHROM_B,Chr B,Chromosome of second breakpoint,Chromosome where the second break occurred. If different from CHROM_A it's a translocation,1-22 X Y,N/A
12,START_B,Start B,Start coordinate of second breakpoint,Genomic position where second break starts,Integer position,N/A
13,END_B,End B,End coordinate of second breakpoint,Genomic position where second break ends,Integer position,N/A
14,STRANDS,Strand Orient,Orientation of the DNA strands at the breakpoint,Indicates how the DNA strands are joined. Important for understanding rearrangement mechanism,"++, --, +-, -+",N/A
15,repeat.site1,Repeat 1,Repetitive DNA element at first breakpoint,Alu and LINE elements are common. Repeats can cause false positives or indicate mechanism,AluSq L1MB3 SVA_F or blank,Blank better (no repeat)
16,repeat.site2,Repeat 2,Repetitive DNA element at second breakpoint,Same as repeat.site1 for second breakpoint,AluSq L1MB3 SVA_F or blank,Blank better (no repeat)
17,Callers,Which Callers,Which analysis programs detected this variant,"More callers = higher confidence. brass and manta are most reliable. Format: comma-separated list","brass,manta,svaba,delly",Multiple callers better
18,NumCallers,Num Callers,Total number of callers that detected this variant,Count of supporting programs. 2+ is good 3+ is very confident,1-4,Higher better
19,NumCallersPass,Callers Passed,Number of callers where variant passed quality filters,More stringent than NumCallers - only counts high-quality calls,0-4,Higher better
20,CC_Chr_Band,Cancer Census Band,Chromosomal band from Cancer Gene Census,Cytogenetic band location if variant affects a known cancer gene,Example: 1p36.33,N/A
21,t_delly_SpanVAF,Tumor Spanning VAF (DELLY),Tumor variant allele fraction from spanning reads (DELLY),What fraction of tumor DNA has this variant (spanning read evidence). 0.5 = 50% of cells,0.0-1.0,Higher = more tumor cells
22,t_delly_JuncVAF,Tumor Junction VAF (DELLY),Tumor variant allele fraction from junction reads (DELLY),Same as SpanVAF but from junction/split reads (more precise evidence),0.0-1.0,Higher = more tumor cells
23,n_delly_SpanVAF,Normal Spanning VAF (DELLY),Normal variant allele fraction from spanning reads (DELLY),VAF in matched normal tissue. Should be 0 for somatic variants. >0.05 suggests germline,0.0-1.0,Lower better (want 0)
24,n_delly_JuncVAF,Normal Junction VAF (DELLY),Normal variant allele fraction from junction reads (DELLY),VAF in normal from junction reads. Should be 0 for true somatic mutations,0.0-1.0,Lower better (want 0)
